ShortName	FullName
ARNIM-A	Arnica montana subsp. atlantica
ARNI-SP	Arnica SPECIES
ARNOMIN	Arnoseris minima
ARNO-SP	Arnoseris SPECIES
ARRHALB	Arrhenatherum album
ARRHA-A	Arrhenatherum album subsp. album
ARRHA-F	Arrhenatherum album subsp. fernandesii
ARRHELA	Arrhenatherum elatius
ARRHE-B	Arrhenatherum elatius subsp. bulbosum
ARRHE-E	Arrhenatherum elatius subsp. elatius
ARRHLON	Arrhenatherum longifolium
ARRHPAL	Arrhenatherum pallens
ARRH-SP	Arrhenatherum SPECIES
ARTEABS	Artemisia absinthium
ARTEARB	Artemisia arborescens
ARTECAE	Artemisia caerulescens
ARTEC-C	Artemisia caerulescens subsp. caerulescens
ARTECAM	Artemisia campestris
ARTEC-G	Artemisia campestris subsp. glutinosa
ARTECRI	Artemisia crithmifolia
ARTEDRA	Artemisia dracunculus
ARTED;D	Artemisia dracunculus var. dracunculus
ARTE-SP	Artemisia SPECIES
ARTETOU	Artemisia tournefortiana
ARTEVER	Artemisia verlotiorum
ARTEVUL	Artemisia vulgaris
ARTEV-V	Artemisia vulgaris subsp. vulgaris
ARTHMAC	Arthrocaulon macrostachyum
ARTH-SP	Arthrocaulon SPECIES
ARUMCYL	Arum cylindraceum
ARUMC-C	Arum cylindraceum subsp. cylindraceum
ARUMITA	Arum italicum
ARUMI-I	Arum italicum subsp. italicum
ARUMI;P	Arum italicum var. pictum
ARUM-SP	Arum SPECIES
ARUNDON	Arundo donax
ARUNMIC	Arundo micrantha
ARUN-SP	Arundo SPECIES
ASPAACU	Asparagus acutifolius
ASPAALB	Asparagus albus
ASPAAPH	Asparagus aphyllus
ASPAA-A	Asparagus aphyllus subsp. aphyllus
ASPAASP	Asparagus asparagoides
ASPAOFF	Asparagus officinalis
ASPA-SP	Asparagus SPECIES
ASPEARV	Asperula arvensis
ASPE-SP	Asperula SPECIES
ASPHAES	Asphodelus aestivus
ASPHBEN	Asphodelus bento-rainhae
ASPHB-B	Asphodelus bento-rainhae subsp. bento-rainhae
ASPHFIS	Asphodelus fistulosus
ASPHF-F	Asphodelus fistulosus subsp. fistulosus
ASPHLUS	Asphodelus lusitanicus
ASPHL;L	Asphodelus lusitanicus var. lusitanicus
ASPHL;O	Asphodelus lusitanicus var. ovoideus
ASPHMAC	Asphodelus macrocarpus
ASPHM-M	Asphodelus macrocarpus subsp. macrocarpus
ASPHM;A	Asphodelus macrocarpus var. arrondeaui
ASPHRAM	Asphodelus ramosus
ASPHR-D	Asphodelus ramosus subsp. distalis
ASPHSER	Asphodelus serotinus
ASPH-SP	Asphodelus SPECIES
ASPLADI	Asplenium adiantum-nigrum
ASPLA-A	Asplenium adiantum-nigrum subsp. adiantum-nigrum
ASPLA-C	Asplenium adiantum-nigrum subsp. corunnense
ASPLCET	Asplenium ceterach
ASPLC-C	Asplenium ceterach subsp. ceterach
ASPLHEM	Asplenium hemionitis
ASPLH;H	Asplenium hemionitis var. hemionitis
ASPLMAR	Asplenium marinum
ASPLM;D	Asplenium marinum var. depauperatum
ASPLM;M	Asplenium marinum var. marinum
ASPLOBO	Asplenium obovatum
ASPLO-B	Asplenium obovatum subsp. billotii
ASPLO-O	Asplenium obovatum subsp. obovatum
ASPLONO	Asplenium onopteris
ASPLPET	Asplenium petrarchae
ASPLP-P	Asplenium petrarchae subsp. petrarchae
ASPLRUT	Asplenium ruta-muraria
ASPLR-R	Asplenium ruta-muraria subsp. ruta-muraria
ASPLSCO	Asplenium scolopendrium
ASPLS-S	Asplenium scolopendrium subsp. scolopendrium
ASPLSEP	Asplenium septentrionale
ASPLS-E	Asplenium septentrionale subsp. septentrionale
ASPL-SP	Asplenium SPECIES
ASPLTRI	Asplenium trichomanes
ASPLT-C	Asplenium trichomanes subsp. coriaceifolium
ASPLT-I	Asplenium trichomanes subsp. inexpectans
ASPLT-Q	Asplenium trichomanes subsp. quadrivalens
ASTEAQU	Asteriscus aquaticus
ASTE-SP	Asteriscus SPECIES
ASTRALG	Astragalus algarbiensis
ASTRBOE	Astragalus boeticus
ASTRCYM	Astragalus cymbaecarpos
ASTRECH	Astragalus echinatus
ASTRGLA	Astragalus glaux
ASTRGLY	Astragalus glycyphyllos
ASTRHAM	Astragalus hamosus
ASTRSES	Astragalus sesameus
ASTR-SP	Astragalus SPECIES
ASTRSTE	Astragalus stella
ASTRTRA	Astragalus tragacantha
