ShortName	FullName
ANTIE-G	Anticlea elegans subsp. glauca
ANTI-SP	Anticlea SPECIES
ANTNMAJ	Antirrhinum majus
ANTN-SP	Antirrhinum SPECIES
APIOAME	Apios americana
APIO-SP	Apios SPECIES
APLEHYE	Aplectrum hyemale
APLE-SP	Aplectrum SPECIES
APOCAND	Apocynum androsaemifolium
APOCCAN	Apocynum cannabinum
APOC-SP	Apocynum SPECIES
AQUICAN	Aquilegia canadensis
AQUI-SP	Aquilegia SPECIES
AQUIVUL	Aquilegia vulgaris
ARABARE	Arabidopsis arenicola
ARAB-SP	Arabidopsis SPECIES
ARABTHA	Arabidopsis thaliana
ARAIALP	Arabis alpina
ARAIA-A	Arabis alpina subsp. alpina
ARAICAU	Arabis caucasica
ARAIPYC	Arabis pycnocarpa
ARAI-SP	Arabis SPECIES
ARALHIS	Aralia hispida
ARALNUD	Aralia nudicaulis
ARALRAC	Aralia racemosa
ARAL-SP	Aralia SPECIES
ARCEPUS	Arceuthobium pusillum
ARCE-SP	Arceuthobium SPECIES
ARCTLAT	Arctagrostis latifolia
ARCT-SP	Arctagrostis SPECIES
ARCILAP	Arctium lappa
ARCIL-L	Arctium lappa subsp. lappa
ARCIMIN	Arctium minus
ARCI-SP	Arctium SPECIES
ARCITOM	Arctium tomentosum
ARCOEMI	Arctopoa eminens
ARCOSAL	Arctopoa saltuensis
ARCO-SP	Arctopoa SPECIES
ARCS-SP	Arctostaphylos SPECIES
ARCSUVA	Arctostaphylos uva-ursi
ARCUALP	Arctous alpina
ARCURUB	Arctous rubra
ARCU-SP	Arctous SPECIES
ARENHUM	Arenaria humifusa
ARENSER	Arenaria serpyllifolia
ARENS;S	Arenaria serpyllifolia var. serpyllifolia
AREN-SP	Arenaria SPECIES
ARETBUL	Arethusa bulbosa
ARET-SP	Arethusa SPECIES
ARGEANS	Argentina anserina
ARGEA-A	Argentina anserina subsp. anserina
ARGEA-G	Argentina anserina subsp. groenlandica
ARGEPAC	Argentina pacifica
ARGE-SP	Argentina SPECIES
ARISDRA	Arisaema dracontium
ARISPUS	Arisaema pusillum
ARIS-SP	Arisaema SPECIES
ARISSTE	Arisaema stewardsonii
ARISTRI	Arisaema triphyllum
ARITBAS	Aristida basiramea
ARIT-SP	Aristida SPECIES
ARIOCLE	Aristolochia clematitis
ARIO-SP	Aristolochia SPECIES
ARMORUS	Armoracia rusticana
ARMO-SP	Armoracia SPECIES
ARNIANG	Arnica angustifolia
ARNIA-A	Arnica angustifolia subsp. angustifolia
ARNIGRI	Arnica griscomii
ARNIG-G	Arnica griscomii subsp. griscomii
ARNICHA	Arnica chamissonis
ARNILAN	Arnica lanceolata
ARNIL-L	Arnica lanceolata subsp. lanceolata
ARNILON	Arnica lonchophylla
ARNI-SP	Arnica SPECIES
ARONARB	Aronia arbutifolia
ARONMEL	Aronia melanocarpa
ARON-SP	Aronia SPECIES
ARRHELA	Arrhenatherum elatius
ARRHE-E	Arrhenatherum elatius subsp. elatius
ARRH-SP	Arrhenatherum SPECIES
ARTEABR	Artemisia abrotanum
ARTEABS	Artemisia absinthium
ARTEANN	Artemisia annua
ARTEBIE	Artemisia biennis
ARTECAM	Artemisia campestris
ARTEC-C	Artemisia campestris subsp. canadensis
ARTEC-A	Artemisia campestris subsp. caudata
ARTEFRI	Artemisia frigida
ARTEF;F	Artemisia frigida f. frigida
ARTELUD	Artemisia ludoviciana
ARTEL-L	Artemisia ludoviciana subsp. ludoviciana
ARTEPON	Artemisia pontica
ARTE-SP	Artemisia SPECIES
ARTESTE	Artemisia stelleriana
ARTETIL	Artemisia tilesii
ARTEVUL	Artemisia vulgaris
ARTEV-V	Artemisia vulgaris subsp. vulgaris
ARUNDIO	Aruncus dioicus
ARUND;A	Aruncus dioicus var. acuminatus
ARUN-SP	Aruncus SPECIES
ASARCAN	Asarum canadense
ASAR-SP	Asarum SPECIES
ASCLEXA	Asclepias exaltata
ASCLINC	Asclepias incarnata
ASCLI-I	Asclepias incarnata subsp. incarnata
ASCL-SP	Asclepias SPECIES
ASCLSYR	Asclepias syriaca
ASCLTUB	Asclepias tuberosa
ASCLT-I	Asclepias tuberosa subsp. interior
ASPAOFF	Asparagus officinalis
ASPA-SP	Asparagus SPECIES
ASPLPLA	Asplenium platyneuron
ASPLP;P	Asplenium platyneuron var. platyneuron
ASPLRHI	Asplenium rhizophyllum
ASPLRUT	Asplenium ruta-muraria
ASPLR;C	Asplenium ruta-muraria var. cryptolepis
ASPL-SP	Asplenium SPECIES
ASPLTRI	Asplenium trichomanes
ASPLT-Q	Asplenium trichomanes subsp. quadrivalens
ASPLT-T	Asplenium trichomanes subsp. trichomanes
ASPLVIR	Asplenium viride
ASTRABO	Astragalus aboriginorum
ASTRA;A	Astragalus aboriginorum var. aboriginorum
ASTRAGR	Astragalus agrestis
ASTRALP	Astragalus alpinus
ASTRA;L	Astragalus alpinus var. alpinus
ASTRA;B	Astragalus alpinus var. brunetianus
ASTRAME	Astragalus americanus
ASTRCAN	Astragalus canadensis
ASTRC;C	Astragalus canadensis var. canadensis
ASTRCIC	Astragalus cicer
ASTREUC	Astragalus eucosmus
ASTRR;F	Astragalus robbinsii var. fernaldii
ASTRR;M	Astragalus robbinsii var. minor
ASTR-SP	Astragalus SPECIES
ATHYAME	Athyrium americanum
ATHYANG	Athyrium angustum
ATHYCYC	Athyrium cyclosorum
ATHY-SP	Athyrium SPECIES
ATOCARM	Atocion armeria
ATOC-SP	Atocion SPECIES
ATRIDIO	Atriplex dioica
ATRIGLA	Atriplex glabriuscula
ATRIG;A	Atriplex glabriuscula var. acadiensis
ATRIG;G	Atriplex glabriuscula var. glabriuscula
ATRIHOR	Atriplex hortensis
ATRILAC	Atriplex laciniata
ATRIMIC	Atriplex micrantha
ATRIPAT	Atriplex patula
ATRIP-P	Atriplex patula subsp. patula
ATRIPRO	Atriplex prostrata
ATRIP-R	Atriplex prostrata subsp. prostrata
ATRI-SP	Atriplex SPECIES
AURISAX	Aurinia saxatilis
AURIS-S	Aurinia saxatilis subsp. saxatilis
AURI-SP	Aurinia SPECIES
AVENFAT	Avena fatua
AVENSAT	Avena sativa
AVEN-SP	Avena SPECIES
AVENSTE	Avena sterilis
AVENS-S	Avena sterilis subsp. sterilis
AVEEFLE	Avenella flexuosa
AVEEF-C	Avenella flexuosa subsp. corsica
AVEEF-F	Avenella flexuosa subsp. flexuosa
AVEE-SP	Avenella SPECIES
AVEUPUB	Avenula pubescens
AVEU-SP	Avenula SPECIES
AXYRAMA	Axyris amaranthoides
AXYR-SP	Axyris SPECIES
BARBORT	Barbarea orthoceras
BARB-SP	Barbarea SPECIES
BARBSTR	Barbarea stricta
BARBVUL	Barbarea vulgaris
BART-SP	Bartonia SPECIES
BARTVIR	Bartonia virginica
BARSALP	Bartsia alpina
BARS-SP	Bartsia SPECIES
BASSSCO	Bassia scoparia
BASS-SP	Bassia SPECIES
BECK-SP	Beckmannia SPECIES
BECKSYZ	Beckmannia syzigachne
BELLPER	Bellis perennis
BELL-SP	Bellis SPECIES
BERBAQU	Berberis aquifolium
BERB-SP	Berberis SPECIES
BERBVUL	Berberis vulgaris
BERBV-V	Berberis vulgaris subsp. vulgaris
BERTINC	Berteroa incana
BERT-SP	Berteroa SPECIES
BETUALL	Betula alleghaniensis
BETUCOR	Betula cordifolia
BETUGLA	Betula glandulosa
BETUMIC	Betula michauxii
BETUPAP	Betula papyrifera
BETUPOP	Betula populifolia
BETUPUM	Betula pumila
BETU-SP	Betula SPECIES
BIDEALB	Bidens alba
BIDEBEC	Bidens beckii
