ShortName	FullName
BERBVUL	Berberis vulgaris
BERGCRA	Bergenia crassifolia
BERG-SP	Bergenia SPECIES
BERTINC	Berteroa incana
BERTI-I	Berteroa incana subsp. incana
BERTI-S	Berteroa incana subsp. stricta
BERT-SP	Berteroa SPECIES
BERUERE	Berula erecta
BERU-SP	Berula SPECIES
BETA-SP	Beta SPECIES
BETATRI	Beta trigyna
BETAVUL	Beta vulgaris
BETAVUG	Beta vulgaris Altissima Group
BETAVUA	Beta vulgaris Cicla Group
BETAVUR	Beta vulgaris Rapacea Group
BETAVUI	Beta vulgaris Vulgaris Group
BETOOFF	Betonica officinalis
BETO-SP	Betonica SPECIES
BETU*AU	Betula ×aurata
BETU*SE	Betula ×intermedia nothosubsp. ×seideliana
BETUALL	Betula alleghaniensis
BETUHUM	Betula humilis
BETULEN	Betula lenta
BETUNAN	Betula nana
BETUPAP	Betula papyrifera
BETUPEN	Betula pendula
BETUP;O	Betula pendula var. obscura
BETUP;Y	Betula pendula var. oycoviensis
BETUP;P	Betula pendula var. pendula
BETUPET	Betula petraea
BETUPUB	Betula pubescens
BETUP-C	Betula pubescens subsp. carpatica
BETUP-P	Betula pubescens subsp. pubescens
BETU-SP	Betula SPECIES
BIDE*PO	Bidens ×polakii
BIDECER	Bidens cernuus
BIDECON	Bidens connatus
