ShortName	FullName
ALCHO-T	Alchemilla obtusa ssp. trapezialis
ALCHPLI	Alchemilla plicata
ALCHPRO	Alchemilla propinqua
ALCHREN	Alchemilla reniformis
ALCHSER	Alchemilla sericata
ALCH-SP	Alchemilla species
ALCHSPE	Alchemilla speciosa
ALCHSTR	Alchemilla straminea
ALCHSUA	Alchemilla suavis
ALCHSUB	Alchemilla subcrenata
ALCHSUG	Alchemilla subglobosa
ALCHTYT	Alchemilla tytthantha
ALCHVUL	Alchemilla vulgaris
ALCHVUG	Alchemilla vulgaris s.lat.*
ALCHWAL	Alchemilla walasii
ALCHXAN	Alchemilla xanthochlora
ALISGRA	Alisma gramineum
ALISLAN	Alisma lanceolatum
ALISPLA	Alisma plantago-aquatica
ALISPLN	Alisma plantago-aquatica s.lat.*
ALIS-SP	Alisma species
ALLAALP	Allantoparmelia alpicola
ALLA-SP	Allantoparmelia species
ALLIPET	Alliaria petiolata
ALLI-SP	Alliaria species
ALLUANG	Allium angulosum
ALLUATR	Allium atropurpureum
ALLUATO	Allium atroviolaceum
ALLUCAR	Allium carinatum
ALLUCEP	Allium cepa
ALLUCRI	Allium cristophii
ALLUFIS	Allium fistulosum
ALLUFLA	Allium flavum
ALLUGIG	Allium giganteum
ALLUHOL	Allium hollandicum
ALLUKAR	Allium karataviense
ALLUMOL	Allium moly
ALLUNUT	Allium nutans
ALLUOLE	Allium oleraceum
ALLUORE	Allium oreophilum
ALLUPAR	Allium paradoxum
ALLUP;N	Allium paradoxum var. normale
ALLUP;P	Allium paradoxum var. paradoxum
ALLUPOR	Allium porrum
ALLUROS	Allium roseum
ALLUROT	Allium rotundum
ALLUSAT	Allium sativum
ALLUSCO	Allium scorodoprasum
ALLUSEN	Allium senescens
ALLUS-M	Allium senescens ssp. montanum
ALLUSCH	Allium schoenoprasum
ALLUS-S	Allium schoenoprasum ssp. schoenoprasum
ALLU-SP	Allium species
ALLUSPH	Allium sphaerocephalon
ALLUSTI	Allium stipitatum
ALLUSTR	Allium strictum
ALLUURS	Allium ursinum
ALLUU-U	Allium ursinum ssp. ucrainicum
ALLUU-R	Allium ursinum ssp. ursinum
ALLUVIC	Allium victorialis
ALLUVIN	Allium vineale
ALLU*PR	Allium x proliferum
ALLUZEB	Allium zebdanense
ALNUALN	Alnus alnobetula
ALNUGLU	Alnus glutinosa
ALNUINC	Alnus incana
ALNURUG	Alnus rugosa
ALNU-SP	Alnus species
ALNU*IN	Alnus x pubescens (A. glutinosa x incana)
ALNU*RU	Alnus x silesiaca (A. glutinosa x rugosa)
ALOIALO	Aloina aloides
ALOIAMB	Aloina ambigua
ALOIBRE	Aloina brevirostris
ALOIRIG	Aloina rigida
ALOI-SP	Aloina species
ALOPAEQ	Alopecurus aequalis
ALOPGEN	Alopecurus geniculatus
ALOP*PR	Alopecurus geniculatus x pratensis
ALOPMYO	Alopecurus myosuroides
ALOPPRA	Alopecurus pratensis
ALOP-SP	Alopecurus species
ALTHARM	Althaea armeniaca
ALTHHIR	Althaea hirsuta
ALTHOFF	Althaea officinalis
ALTH-SP	Althaea species
ALYSALY	Alyssum alyssoides
ALYSARG	Alyssum argenteum
ALYSMON	Alyssum montanum
ALYSM-G	Alyssum montanum ssp. gmelinii
ALYSMUR	Alyssum murale
ALYSROS	Alyssum rostratum
ALYS-SP	Alyssum species
AMARACU	Amaranthus acutilobus
AMARALB	Amaranthus albus
AMARBLI	Amaranthus blitoides
AMARBLT	Amaranthus blitum
AMARBOU	Amaranthus bouchonii
AMARCAU	Amaranthus caudatus
AMARC-C	Amaranthus caudatus ssp. caudatus
AMARC-S	Amaranthus caudatus ssp. saueri
AMARCRI	Amaranthus crispus
AMARCRU	Amaranthus cruentus
AMAR*RE	Amaranthus cruentus x retroflexus
AMARDEF	Amaranthus deflexus
AMARGRA	Amaranthus graecizans
AMARG-G	Amaranthus graecizans ssp. graecizans
AMARG-S	Amaranthus graecizans ssp. sylvestris
AMARG-T	Amaranthus graecizans ssp. thellungianus
AMARHYB	Amaranthus hybridus
AMAR#HY	Amaranthus hybridus agg.
AMARHYP	Amaranthus hypochondriacus
AMARPAL	Amaranthus palmeri
AMARPOW	Amaranthus powellii
AMARQUI	Amaranthus quitensis
AMARRET	Amaranthus retroflexus
AMARRUD	Amaranthus rudis
AMAR-SP	Amaranthus species
AMARSPI	Amaranthus spinosus
AMARVIR	Amaranthus viridis
AMAR*PO	Amaranthus x alleizettei (A. caudatus x powelii)
AMAR*RT	Amaranthus x ozanonii (A. powellii x retroflexus)
AMBLDEA	Amblyodon dealbatus
AMBL-SP	Amblyodon species
AMBYCOM	Amblystegium compactum
AMBYFLU	Amblystegium fluviatile
AMBYHUM	Amblystegium humile
AMBYSAX	Amblystegium saxatile
AMBYSER	Amblystegium serpens
AMBY-SP	Amblystegium species
AMBYTEN	Amblystegium tenax
AMBYVAR	Amblystegium varium
AMBRART	Ambrosia artemisiifolia
AMBRPSI	Ambrosia psilostachya
AMBR-SP	Ambrosia species
AMBRTRI	Ambrosia trifida
AMELLAM	Amelanchier lamarckii
AMELOVA	Amelanchier ovalis
AMEL-SP	Amelanchier species
AMELSPI	Amelanchier spicata
AMMIMAJ	Ammi majus
AMMI-SP	Ammi species
AMMIVIS	Ammi visnaga
AMORFRU	Amorpha fruticosa
AMOR-SP	Amorpha species
AMPHLAP	Amphidium lapponicum
AMPHMOU	Amphidium mougeottii
AMPH-SP	Amphidium species
AMSILYC	Amsinckia lycopsoides
AMSI-SP	Amsinckia SPECIES
AMYGCON	Amygdalaria consentiens
AMYGPAN	Amygdalaria panaeola
AMYG-SP	Amygdalaria species
ANACPYR	Anacamptis pyramidalis
ANAC*GY	Anacamptis pyramidalis x Gymnadenia conopsea
