"ShortName"	"FullName"
"AGER-SP"	"Ageratina species"
"AGEAHOU"	"Ageratum houstonianum"
"AGEA-SP"	"Ageratum species"
"AGONTRI"	"Agonimia tristicula"
"AGON-SP"	"Agonimia species"
"AGRIEUP"	"Agrimonia eupatoria"
"AGRIE-E"	"Agrimonia eupatoria ssp. eupatoria"
"AGRIE-G"	"Agrimonia eupatoria ssp. grandis"
"AGRIPRO"	"Agrimonia procera"
"AGRIPIL"	"Agrimonia pilosa"
"AGRI-SP"	"Agrimonia species"
"AGRODES"	"Agropyron desertorum"
"AGROPEC"	"Agropyron pectiniforme"
"AGRO-SP"	"Agropyron species"
"AGRSGIT"	"Agrostemma githago"
"AGRSG;L"	"Agrostemma githago var. linicola"
"AGRS-SP"	"Agrostemma species"
"AGRTAGR"	"Agrostis agrostiflora"
"AGRT#AL"	"Agrostis alpina agg."
"AGRTALP"	"Agrostis alpina"
"AGRT#CA"	"Agrostis canina agg."
"AGRTCAN"	"Agrostis canina"
"AGRTCAP"	"Agrostis capillaris"
"AGRTCAS"	"Agrostis castellana"
"AGRTGIG"	"Agrostis gigantea"
"AGRTHYE"	"Agrostis hyemalis"
"AGRTRUP"	"Agrostis rupestris"
"AGRTSCH"	"Agrostis schleicheri"
"AGRT#ST"	"Agrostis stolonifera agg."
"AGRTSTO"	"Agrostis stolonifera"
"AGRTVIN"	"Agrostis vinealis"
"AGRTNEB"	"Agrostis nebulosa"
"AGRT-SP"	"Agrostis species"
"AGYRRUF"	"Agyrium rufum"
"AGYR-SP"	"Agyrium species"
"AILAALT"	"Ailanthus altissima"
"AILA-SP"	"Ailanthus species"
"AIRACAR"	"Aira caryophyllea"
"AIRAELE"	"Aira elegantissima"
"AIRAPRA"	"Aira praecox"
"AIRA-SP"	"Aira species"
"AJUGCHA"	"Ajuga chamaepitys"
"AJUGGEN"	"Ajuga genevensis"
"AJUGPYR"	"Ajuga pyramidalis"
"AJUGREP"	"Ajuga reptans"
"AJUG-SP"	"Ajuga species"
"ALCEBIE"	"Alcea biennis"
"ALCEROS"	"Alcea rosea"
"ALCE-SP"	"Alcea species"
"ALCHACR"	"Alchemilla acrodon"
"ALCHACU"	"Alchemilla acutata"
"ALCHAGG"	"Alchemilla aggregata"
"ALCHALP"	"Alchemilla alpigena"
"ALCH#AL"	"Alchemilla alpina agg."
"ALCHALI"	"Alchemilla alpina"
"ALCHANI"	"Alchemilla anisiaca"
"ALCHANT"	"Alchemilla antiropata"
"ALCHATR"	"Alchemilla atrovirens"
"ALCHBAL"	"Alchemilla baltica"
"ALCHCAT"	"Alchemilla cataractarum"
"ALCHCIN"	"Alchemilla cinerea"
"ALCHCOL"	"Alchemilla colorata"
"ALCHCOM"	"Alchemilla compta"
"ALCH#CO"	"Alchemilla conjuncta agg."
"ALCHCON"	"Alchemilla connivens"
"ALCHCOR"	"Alchemilla corcontica"
"ALCHCOI"	"Alchemilla coriacea"
"ALCHCRA"	"Alchemilla crassa"
"ALCHCRI"	"Alchemilla crinita"
"ALCHCUR"	"Alchemilla curta"
"ALCHCUT"	"Alchemilla curtiloba"
"ALCHCUS"	"Alchemilla cuspidens"
"ALCHCYM"	"Alchemilla cymatophylla"
"ALCHDEC"	"Alchemilla decumbens"
"ALCHEFF"	"Alchemilla effusa"
"ALCHEXI"	"Alchemilla exigua"
"ALCHFAL"	"Alchemilla fallax"
