Number	ShortName	FullName
284	ALCHF-V	Alchemilla filicaulis var. vestita
286	ALCHFIS	Alchemilla fissa
287	ALCHFLA	Alchemilla flabellata
289	ALCHGLA	Alchemilla glabra
291	ALCHGLU	Alchemilla glaucescens
295	ALCHGRU	Alchemilla gruneica
298	ALCH#HY	Alchemilla hybrida s.lat.*
308	ALCHMIC	Alchemilla micans
309	ALCHMOL	Alchemilla mollis
310	ALCHMON	Alchemilla monticola
315	ALCHOBT	Alchemilla obtusa
316	ALCHO-O	Alchemilla obtusa ssp. obtusa
317	ALCHO-T	Alchemilla obtusa ssp. trapezialis
323	ALCHPLI	Alchemilla plicata
324	ALCHPRO	Alchemilla propinqua
325	ALCHREN	Alchemilla reniformis
336	ALCHSTR	Alchemilla straminea
338	ALCHSUA	Alchemilla suavis
339	ALCHSUB	Alchemilla subcrenata
340	ALCHSUG	Alchemilla subglobosa
344	ALCHTYT	Alchemilla tytthantha
346	ALCHURS	Alchemilla effusa
349	ALCH#VU	Alchemilla vulgaris s.lat.*
350	ALCHVUL	Alchemilla vulgaris
351	ALCHWAL	Alchemilla walasii
352	ALCHXAN	Alchemilla xanthochlora
419	ALCH-SP	Alchemilla species
420	ALDRVES	Aldrovanda vesiculosa
421	ALDR-SP	Aldrovanda species
422	ALECNIG	Alectoria nigricans
423	ALECOCH	Alectoria ochroleuca
424	ALECSAR	Alectoria sarmentosa
425	ALEC-SP	Alectoria species
426	ALISGRA	Alisma gramineum
427	ALISLAN	Alisma lanceolatum
428	ALIS#PL	Alisma plantago-aquatica s.lat.*
429	ALISPLA	Alisma plantago-aquatica
430	ALIS-SP	Alisma species
433	ALLAALP	Allantoparmelia alpicola
434	ALLA-SP	Allantoparmelia species
435	ALLIPET	Alliaria petiolata
436	ALLI-SP	Alliaria species
437	ALLUANG	Allium angulosum
439	ALLUATR	Allium atropurpureum
440	ALLUCAR	Allium carinatum
441	ALLUC-C	Allium carinatum
443	ALLUCEP	Allium cepa
444	ALLUCHR	Allium cristophii
445	ALLUFIS	Allium fistulosum
446	ALLUFLA	Allium flavum
449	ALLUOLE	Allium oleraceum
450	ALLUPAR	Allium paradoxum
451	ALLUPOR	Allium porrum
452	ALLUROT	Allium rotundum
453	ALLUSAT	Allium sativum
454	ALLUSCH	Allium schoenoprasum
455	ALLUSCO	Allium scorodoprasum
456	ALLUSEN	Allium senescens
457	ALLUS-M	Allium senescens ssp. montanum
458	ALLUSPH	Allium sphaerocephalon
459	ALLUSTR	Allium strictum
461	ALLUURS	Allium ursinum
462	ALLUVIC	Allium victorialis
463	ALLUVIN	Allium vineale
464	ALLUATO	Allium atroviolaceum
467	ALLUMOL	Allium moly
470	ALLUS-A	Allium schoenoprasum ssp. schoenoprasum
471	ALLUS-S	Allium schoenoprasum ssp. schoenoprasum
472	ALLUU-U	Allium ursinum ssp. ucrainicum
473	ALLUU-R	Allium ursinum ssp. ursinum
476	ALLU-SP	Allium species
477	ALNUALN	Alnus alnobetula
478	ALNUGLU	Alnus glutinosa
479	ALNUINC	Alnus incana
480	ALNURUG	Alnus rugosa
481	ALNU-SP	Alnus species
482	ALOIALO	Aloina aloides
483	ALOIAMB	Aloina ambigua
484	ALOIBRE	Aloina brevirostris
485	ALOIRIG	Aloina rigida
486	ALOI-SP	Aloina species
487	ALOPAEQ	Alopecurus aequalis
488	ALOPGEN	Alopecurus geniculatus
489	ALOPMYO	Alopecurus myosuroides
490	ALOPPRA	Alopecurus pratensis
492	ALOP-SP	Alopecurus species
494	ALTHHIR	Althaea hirsuta
495	ALTHOFF	Althaea officinalis
496	ALTHARM	Althaea armeniaca
497	ALTH-SP	Althaea species
498	ALYSALY	Alyssum alyssoides
500	ALYSMON	Alyssum montanum
501	ALYSM-G	Alyssum montanum ssp. gmelinii
502	ALYSM-M	Alyssum montanum
504	ALYSMUR	Alyssum murale
510	ALYSROS	Alyssum rostratum
511	ALYS-SP	Alyssum species
512	AMARALB	Amaranthus albus
513	AMARBLI	Amaranthus blitoides
514	AMARBLT	Amaranthus blitum
515	AMARBOU	Amaranthus bouchonii
516	AMARCAU	Amaranthus caudatus
517	AMARCRI	Amaranthus crispus
519	AMARCRU	Amaranthus cruentus
520	AMARDEF	Amaranthus deflexus
522	AMARGRA	Amaranthus graecizans
523	AMAR#HY	Amaranthus hybridus agg.
524	AMARHYB	Amaranthus hybridus
525	AMARHYP	Amaranthus hypochondriacus
526	AMARPAL	Amaranthus palmeri
527	AMARPOW	Amaranthus powellii
528	AMARQUI	Amaranthus quitensis
529	AMARRET	Amaranthus retroflexus
531	AMARRUD	Amaranthus rudis
533	AMARVIR	Amaranthus viridis
534	AMARACU	Amaranthus acutilobus
535	AMARSPI	Amaranthus spinosus
536	AMAR-SP	Amaranthus species
539	AMBLDEA	Amblyodon dealbatus
540	AMBL-SP	Amblyodon species
541	AMBYCOM	Amblystegium compactum
542	AMBYFLU	Amblystegium fluviatile
543	AMBYHUM	Amblystegium humile
544	AMBYSAX	Amblystegium saxatile
545	AMBYSER	Amblystegium serpens
546	AMBYTEN	Amblystegium tenax
547	AMBYVAR	Amblystegium varium
548	AMBY-SP	Amblystegium species
549	AMBRART	Ambrosia artemisiifolia
550	AMBRTRI	Ambrosia trifida
551	AMBR-SP	Ambrosia species
552	AMELLAM	Amelanchier lamarckii
553	AMELOVA	Amelanchier ovalis
554	AMELSPI	Amelanchier spicata
555	AMEL-SP	Amelanchier species
556	AMMIMAJ	Ammi majus
557	AMMIVIS	Ammi visnaga
558	AMMI-SP	Ammi species
559	AMORFRU	Amorpha fruticosa
560	AMOR-SP	Amorpha species
561	AMPHLAP	Amphidium lapponicum
562	AMPHMOU	Amphidium mougeottii
563	AMPH-SP	Amphidium species
564	AMYGCON	Amygdalaria consentiens
565	AMYGPAN	Amygdalaria panaeola
566	AMYG-SP	Amygdalaria species
567	ANACPYR	Anacamptis pyramidalis
568	ANAC-SP	Anacamptis species
569	ANAASPL	Anacamptodon splachnoides
570	ANAA-SP	Anacamptodon species
571	ANAOWEB	Anacolia webbii
572	ANAO-SP	Anacolia species
573	ANAYCLA	Anacyclus clavatus
575	ANAY-SP	Anacyclus species
576	ANAGARV	Anagallis arvensis
577	ANAGFOE	Anagallis foemina
579	ANAGMON	Anagallis monelli
580	ANAG-SP	Anagallis species
581	ANAPMAR	Anaphalis margaritacea
582	ANAP-SP	Anaphalis species
583	ANATBRY	Anaptychia bryorum
584	ANATCIL	Anaptychia ciliaris
585	ANATCRI	Anaptychia crinalis
586	ANAT-SP	Anaptychia species
587	ANASORC	Anastrepta orcadensis
588	ANAS-SP	Anastrepta species
589	ANARASS	Anastrophyllum assimile
590	ANARCAV	Anastrophyllum cavifolium
591	ANARDON	Anastrophyllum donnianum
592	ANARHEL	Anastrophyllum hellerianum
593	ANARJOE	Anastrophyllum joergensenii
594	ANARMIC	Anastrophyllum michauxii
595	ANARMIN	Anastrophyllum minutum
596	ANARSAX	Anastrophyllum saxicola
597	ANARSPH	Anastrophyllum sphenoloboides
598	ANAR-SP	Anastrophyllum species
599	ANCHARV	Lycopsis arvensis
600	ANCH#AR	Lycopsis arvensis agg.
