Number	ShortName	FullName
6022	LECDPUL	Lecidella pulveracea
6023	LECDSCA	Lecidella scabra
6024	LECDSTI	Lecidella stigmatea
6025	LECDSTG	Lecidella stigmatea f. egena
6026	LECDVIR	Lecidella viridans
6027	LECDWUL	Lecidella wulfenii
6028	LECD-SP	Lecidella species
6029	LECMDEM	Lecidoma demissum
6030	LECM-SP	Lecidoma species
6031	LECGDUB	Leciographa dubia
6032	LECG-SP	Leciographa species
6033	LEDUPAL	Rhododendron tomentosum
6034	LEDU-SP	Rhododendron (Ledum) species
6035	LEERORY	Leersia oryzoides
6036	LEER-SP	Leersia species
6037	LEGOHYB	Legousia hybrida
6038	LEGOSPE	Legousia speculum-veneris
6039	LEGO-SP	Legousia species
6040	LEICALP	Leicolea alpestris
6041	LEICBAD	Leicolea badensis
6042	LEICBAN	Leicolea bantriensis
6043	LEICBOR	Leicolea borealis
6044	LEICGIL	Leicolea gillmanii
6045	LEICHET	Leicolea heterocolpos
6046	"LEICH;A"	Leicolea heterocolpos var. arctica
6047	"LEICH;H"	Leicolea heterocolpos var. heterocolpos
6048	LEICRUT	Leicolea rutheana
6049	LEICTUR	Leicolea turbinata
6050	LEIC-SP	Leicolea species
6051	LEJECAV	Lejeunea cavifolia
6052	LEJEECK	Lejeunea eckloniana
6053	LEJEFLA	Lejeunea flava
6054	LEJEF-F	Lejeunea flava ssp. flava
6055	LEJEF-M	Lejeunea flava ssp. moorei
6056	LEJEHIB	Lejeunea hibernica
6057	LEJEHOL	Lejeunea holtii
6058	LEJELAM	Lejeunea lamacerina
6059	LEJEMAN	Lejeunea mandonii
6060	LEJEPAT	Lejeunea patens
6061	LEJEULI	Lejeunea ulicina
6062	LEJE-SP	Lejeunea species
6063	LEMMARN	Lemmopsis arnoldiana
6064	LEMM-SP	Lemmopsis species
6065	LEMNGIB	Lemna gibba
6066	LEMNMIN	Lemna minor
6067	LEMNTRI	Lemna trisulca
6068	LEMNTUR	Lemna turionifera
6069	LEMN-SP	Lemna species
6070	LEMPBOT	Lempholemma botryosum
6071	LEMPCHA	Lempholemma chalazanum
6072	LEMPCON	Lempholemma condensatum
6073	LEMPDIS	Lempholemma dispansum
6074	LEMPELV	Lempholemma elveloideum
6075	LEMPINT	Lempholemma intricatum
6076	LEMPPOL	Lempholemma polyanthes
6077	LEMP-SP	Lempholemma species
6078	LENSCUL	Lens culinaris
6080	LENS-SP	Lens species
6081	LEONAUT	Scorzoneroides autumnalis
6082	LEONA-A	Scorzoneroides autumnalis
6086	LEONHIS	Leontodon hispidus
6087	LEONH-H	Leontodon hispidus var. glabratus
6088	LEONH-I	Leontodon hispidus var. hispidus
6097	LEONSAX	Leontodon saxatilis
6100	LEON-SP	Leontodon species
6101	LEOTALP	Leontopodium alpinum
6102	LEOT-SP	Leontopodium species
6103	LEOUCAR	Leonurus cardiaca
6104	LEOUC-C	Leonurus cardiaca ssp. cardiaca
6105	LEOUC-V	Leonurus cardiaca ssp. villosus
6106	LEOUMAR	Leonurus marrubiastrum
6107	LEOUC-I	Leonurus cardiaca nssp. intermedius
6108	LEOU-SP	Leonurus species
6109	LEPICAM	Lepidium campestre
6111	LEPIDEN	Lepidium densiflorum
6113	LEPIHET	Lepidium heterophyllum
6114	LEPILAT	Lepidium latifolium
6116	LEPIPER	Lepidium perfoliatum
6117	LEPIRUD	Lepidium ruderale
6118	LEPISAT	Lepidium sativum
6120	LEPIVIR	Lepidium virginicum
6121	LEPIAFR	Lepidium africanum
6122	LEPI-SP	Lepidium species
6123	LEPDCUP	Lepidozia cupressina
6124	LEPDPEA	Lepidozia pearsonii
6125	LEPDREP	Lepidozia reptans
6126	LEPD-SP	Lepidozia species
6127	LEPRALB	Lepraria alba
6128	LEPRBOT	Lepraria botryoides
6129	LEPRCAE	Lepraria caerulescens
6130	LEPRCAS	Lepraria caesioalba
6131	LEPRCRA	Lepraria crasissima
6132	LEPRINC	Lepraria incana
6133	LEPRLAT	Lepraria latebrarum
6134	LEPRLOB	Lepraria lobificans
6135	LEPRNEG	Lepraria neglecta
6136	LEPRRIG	Lepraria rigidula
6137	LEPR-SP	Lepraria species
6138	LEPOMIC	Leprocaulon microscopicum
6139	LEPO-SP	Leprocaulon species
6140	LEPLDIF	Leproloma diffusum
6141	"LEPLD;D"	Leproloma diffusum var. diffusum
6142	LEPLMEM	Leproloma membranaceum
6143	LEPLVOU	Leproloma vouauxii
6144	LEPL-SP	Leproloma species
6145	LEPTBER	Leptobarbula berica
6146	LEPT-SP	Leptobarbula species
6147	LEPBPYR	Leptobryum pyriforme
6148	LEPB-SP	Leptobryum species
6149	LEPCRIP	Leptodictyum riparium
6150	LEPC-SP	Leptodictyum species
6151	LEPNSMI	Leptodon smithii
6152	LEPN-SP	Leptodon species
6153	LEPUFLE	Leptodontium flexifolium
6154	LEPUGEM	Leptodontium gemmascens
6155	LEPUSTY	Leptodontium styriacum
6156	LEPU-SP	Leptodontium species
6157	LEPGBIA	Leptogium biatorinum
6158	LEPGBUR	Leptogium burnetiae
6159	LEPGCOR	Leptogium corniculatum
6160	LEPGCOT	Leptogium corticola
6161	LEPGCRE	Leptogium cretaceum
6162	LEPGCYA	Leptogium cyanescens
6163	LEPGDIF	Leptogium diffractum
6164	LEPGFUR	Leptogium furfuraceum
6165	LEPGGEL	Leptogium gelatinosum
6166	LEPGHIL	Leptogium hildenbrandii
6167	LEPGIMB	Leptogium imbricatum
6168	LEPGLIC	Leptogium lichenoides
6169	"LEPGL;L"	Leptogium lichenoides var. lichenoides
6170	"LEPGL;P"	Leptogium lichenoides var. pulvinatum
6171	LEPGMIN	Leptogium minutissimum
6172	LEPGPLI	Leptogium plicatile
6173	LEPGSAT	Leptogium saturninum
6174	LEPGSCH	Leptogium schraderi
6175	LEPGTEN	Leptogium tenuissimum
6176	LEPGTER	Leptogium teretiusculum
6177	LEPG-SP	Leptogium species
6178	LEPHATO	Leptorhapis atomaria
6179	LEPHEPI	Leptorhapis epidermidis
6180	LEPHLUC	Leptorhapis lucida
6181	LEPHMAG	Leptorhapis maggiana
6182	LEPHPAT	Leptorhapis patzaltii
6183	LEPHWIE	Leptorhapis wienkampii
6184	LEPH-SP	Leptorhapis species
6185	LEPSCUN	Leptoscyphus cuneifolius
6186	LEPS-SP	Leptoscyphus species
6187	LEPPGEO	Leptosphaeria geographicola
6188	LEPPSTE	Leptosphaeria stereocaulicola
6189	LEPP-SP	Leptosphaeria species
6190	LEPYHOL	Lepyrodiclis holosteoides
6191	LEPY-SP	Lepyrodiclis species
6192	LESCINC	Lescuraea incurvata
6193	LESCMUT	Lescuraea mutabilis
6194	LESCPAT	Lescuraea patens
6195	LESCRAD	Lescuraea radicosa
6196	LESCSAV	Lescuraea saviana
6197	LESCSAX	Lescuraea saxicola
6198	LESC-SP	Lescuraea species
6199	LESKPOL	Leskea polycarpa
6200	LESK-SP	Leskea species
6201	LESENER	Leskeella nervosa
6202	LESE-SP	Leskeella species
6203	LETHVUL	Lethraria vulpina
6204	LETH-SP	Lethraria species
6205	LEUCSER	Leucanthemella serotina
6206	LEUC-SP	Leucanthemella species
6215	LEUNIRC	Leucanthemum ircutianum
6217	LEUNMAR	Leucanthemum margaritae
6219	LEUN#VU	Leucanthemum vulgare agg.
6220	LEUNVUL	Leucanthemum vulgare
6221	LEUN-SP	Leucanthemum species
6222	LEUOGLA	Leucobryum glaucum
6223	LEUOJUN	Leucobryum juniperoideum
6224	LEUO-SP	Leucobryum species
6225	LEURBIA	Leucocarpia biatorella
6226	LEUR-SP	Leucocarpia species
6227	LEUDIMM	Leucodon immersus
6228	LEUDSCI	Leucodon sciuroides
6229	"LEUDS;M"	Leucodon sciuroides var. morensis
6230	"LEUDS;S"	Leucodon sciuroides var. sciuroides
6231	LEUD-SP	Leucodon species
6234	LEUJAES	Leucojum aestivum
6235	LEUJVER	Leucojum vernum
6236	LEUJ-SP	Leucojum species
6237	LEVIOFF	Levisticum officinale
6238	LEVI-SP	Levisticum species
6239	LIBEMAL	Libertiella malmedyensis
6240	LIBE-SP	Libertiella species
6241	LICHCON	Lichenochora constrictella
6242	LICHINC	Lichenochora inconspicua
6243	LICHTHA	Lichenochora thallina
6244	LICH-SP	Lichenochora species
6245	LICECAR	Lichenoconium cargellianum
6246	LICEERO	Lichenoconium erodens
6247	LICELEC	Lichenoconium lecanorae
6248	LICEPAR	Lichenoconium parasiticum
6249	LICEPYX	Lichenoconium pyxidatae
6250	LICEUSN	Lichenoconium usneae
6251	LICEXAN	Lichenoconium xanthoriae
6252	LICE-SP	Lichenoconium species
6253	LICNLEC	Lichenodiplis lecanorae
6254	LICNLIC	Lichenodiplis lichenicola
6255	LICN-SP	Lichenodiplis species
6256	LICOHAE	Lichenophoma haematommatis
6257	LICO-SP	Lichenophoma species
6258	LICPPOE	Lichenopuccinia poeltii
6259	LICP-SP	Lichenopuccinia species
6260	LICSALC	Lichenosticta alcicorniaria
6261	LICS-SP	Lichenosticta species
6262	LICTMAU	Lichenostigma maureri
6263	LICTRUG	Lichenostigma rugosum
6264	LICT-SP	Lichenostigma species
6265	LICLMET	Lichenothelia metzleri
6266	LICLSCO	Lichenothelia scopularia
6267	LICL-SP	Lichenothelia species
6268	LICISTI	Lichinella stipatula
6269	LICI-SP	Lichinella species
6271	LIGUSIB	Ligularia sibirica
6274	LIGU-SP	Ligularia species
6275	LIGSMUT	Ligusticum mutellina
6277	LIGS-SP	Ligusticum species
6278	LIGTOVA	Ligustrum ovalifolium
6279	LIGTVUL	Ligustrum vulgare
6280	LIGT-SP	Ligustrum species
6281	LILIBUL	Lilium bulbiferum
6282	LILIB-B	Lilium bulbiferum var. bulbiferum
6283	LILIB-C	Lilium bulbiferum var. croceum
6285	LILIMAR	Lilium martagon
6286	LILITIG	Lilium tigrinum
6287	LILI-SP	Lilium species
6288	LIMOABO	Limodorum abortivum
6289	LIMO-SP	Limodorum species
6291	LIMNSIN	Limonium sinuatum
6292	LIMN-SP	Limonium species
6293	LIMSAQU	Limosella aquatica
6294	LIMS-SP	Limosella species
6299	LINAARV	Linaria arvensis
6303	LINAGEN	Linaria genistifolia
6306	LINAMAR	Linaria maroccana
6307	LINAREP	Linaria repens
6309	LINA#VU	Linaria vulgaris
6310	LINAVUL	Linaria vulgaris
6311	LINAPUR	Linaria purpurea
6312	LINA-SP	Linaria species
6313	LINDPRO	Lindernia procumbens
6314	LIND-SP	Lindernia species
6315	LINNBOR	Linnaea borealis
6316	LINN-SP	Linnaea species
6318	LINUAUS	Linum austriacum
6319	LINUA-A	Linum austriacum ssp. austriacum
6320	LINUCAT	Linum catharticum
6321	LINUFLA	Linum flavum
6323	LINUHIR	Linum hirsutum
6324	LINUH-G	Linum hirsutum ssp. glabrescens
6325	LINUH-H	Linum hirsutum ssp. hirsutum
6328	LINUPER	Linum perenne
6330	LINUTEN	Linum tenuifolium
6332	LINUUSI	Linum usitatissimum
6334	LINU-SP	Linum species
6335	LIPALOE	Liparis loeselii
6336	LIPA-SP	Liparis species
6337	LISTCOR	Listera cordata
6338	LISTOVA	Listera ovata
6339	LIST-SP	Listera species
6340	LITHTES	Lithographa tesserata
6341	LITHVAR	Lithographa varangarica
6342	LITH-SP	Lithographa species
6343	LITOOFF	Lithospermum officinale
6344	LITO-SP	Lithospermum species
6345	LITTUNI	Littorella uniflora
6346	LITT-SP	Littorella species
6349	LOBAAMP	Lobaria amplissima
6350	LOBALIN	Lobaria linita
6351	LOBAPUL	Lobaria pulmonaria
6352	LOBASCR	Lobaria scrobiculata
6353	LOBA-SP	Lobaria species
6354	LOBEERI	Lobelia erinus
6357	LOBE-SP	Lobelia species
6358	LOBOALP	Lobothallia alphoplaca
6359	LOBOMEL	Lobothallia melanaspis
6360	LOBOPRA	Lobothallia praeradiosa
6361	LOBORAD	Lobothallia radiosa
6362	LOBO-SP	Lobothallia species
6363	LOBUMAR	Lobularia maritima
6364	LOBU-SP	Lobularia species
6367	LOLILOL	Lolium rigidum ssp. lepturoides
6368	LOLIMUL	Lolium multiflorum
6369	LOLIPER	Lolium perenne
6370	LOLIREM	Lolium remotum
6371	LOLIRIG	Lolium rigidum ssp. rigidum
6373	LOLITEM	Lolium temulentum
6374	LOLI-SP	Lolium species
6378	LONICAE	Lonicera caerulea
6379	LONIC-C	Lonicera caerulea
6381	LONICAP	Lonicera caprifolium
6382	LONIINV	Lonicera involucrata
6383	LONINIG	Lonicera nigra
6384	LONIPER	Lonicera periclymenum
6385	LONITAT	Lonicera tatarica
6386	LONIXYL	Lonicera xylosteum
6387	LONI-SP	Lonicera species
6388	LOPADIS	Lopadium disciforme
6389	LOPAPEZ	Lopadium pezizoideum
6390	LOPA-SP	Lopadium species
6393	LOPHBID	Lophocolea bidentata
6394	"LOPHB;B"	Lophocolea bidentata var. bidentata
6395	"LOPHB;R"	Lophocolea bidentata var. rivularis
6396	LOPHBIS	Lophocolea bispinosa
6397	LOPHFRA	Lophocolea fragrans
6398	LOPHHET	Lophocolea heterophylla
6399	LOPHMIN	Lophocolea minor
6400	LOPHSEM	Lophocolea semiteres
6401	LOPH-SP	Lophocolea species
6402	LOPOASC	Lophozia ascendens
6403	LOPOBIC	Lophozia bicrenata
6404	LOPOCAP	Lophozia capitata
6405	LOPODEB	Lophozia debiliformis
6406	LOPODEC	Lophozia decolorans
6407	LOPOELO	Lophozia elongata
6408	LOPOEXC	Lophozia excisa
6409	LOPOGRA	Lophozia grandiretis
6410	LOPOGRO	Lophozia groenlandica
6411	LOPOHER	Lophozia herzogiana
6412	LOPOHET	Lophozia heterocolpos
6413	LOPOHYP	Lophozia hyperarctica
6414	LOPOINC	Lophozia incisa
6415	LOPOJUR	Lophozia jurensis
6416	LOPOLAX	Lophozia laxa
6417	LOPOLON	Lophozia longidens
6418	LOPOLOG	Lophozia longiflora
6419	LOPOOBT	Lophozia obtusa
6420	LOPOOPA	Lophozia opacifolia
6421	LOPOPEL	Lophozia pellucida
6422	LOPOPER	Lophozia perssonii
6423	LOPOPOL	Lophozia polaris
6424	LOPORUB	Lophozia rubrigemma
6425	LOPORUF	Lophozia rufescens
6426	LOPOSAV	Lophozia savicziae
6427	LOPOSUD	Lophozia sudetica
6428	LOPOVEN	Lophozia ventricosa
6429	"LOPOV;C"	Lophozia ventricosa var. confertifolia
6430	"LOPOV;L"	Lophozia ventricosa var. longiflora
6431	"LOPOV;S"	Lophozia ventricosa var. silvicola
6432	"LOPOV;V"	Lophozia ventricosa var. ventricosa
6433	LOPOWEN	Lophozia wenzelii
6434	"LOPOW;L"	Lophozia wenzelii var. lapponica
6435	"LOPOW;W"	Lophozia wenzelii var. wenzelii
6436	LOPO-SP	Lophozia species
6437	LORAEUR	Loranthus europaeus
6438	LORA-SP	Loranthus species
6440	LOTUBOR	Lotus borbasii
6441	LOTU#CO	Lotus corniculatus agg.
6442	LOTUCOR	Lotus corniculatus
6443	LOTUMAR	Lotus maritimus
6444	LOTUORN	Lotus ornithopodioides
6445	LOTUPED	Lotus pedunculatus
6446	LOTUTEN	Lotus tenuis
6447	LOTU-SP	Lotus species
6448	LOXOCIS	Loxospora cismonica
6449	LOXOELA	Loxospora elatina
6450	LOXO-SP	Loxospora species
6451	LUDWPAL	Ludwigia palustris
6452	LUDW-SP	Ludwigia species
6453	LUNAANN	Lunaria annua
6454	LUNARED	Lunaria rediviva
6455	LUNA-SP	Lunaria species
6456	LUNUCRU	Lunularia cruciata
6457	LUNU-SP	Lunularia species
6458	LUPIALB	Lupinus albus
6459	LUPIANG	Lupinus angustifolius
6460	LUPILUT	Lupinus luteus
6462	LUPIPOL	Lupinus polyphyllus
6463	LUPI-SP	Lupinus species
6464	LURONAT	Luronium natans
6465	LURO-SP	Luronium species
6470	LUZUCAM	Luzula campestris
6471	LUZU#CA	Luzula campestris agg.
6472	LUZUDIV	Luzula divulgata
6476	LUZULUZ	Luzula luzulina
6477	LUZULUU	Luzula luzuloides
6478	LUZUL-C	Luzula luzuloides ssp. rubella
6479	LUZUL-L	Luzula luzuloides ssp. luzuloides
6480	LUZUMUL	Luzula multiflora
6481	LUZUMUT	Luzula multiflora
6482	LUZUNIV	Luzula nivea
6483	LUZUPAL	Luzula pallescens
6484	LUZUPIL	Luzula pilosa
6485	LUZUSPI	Luzula spicata
6487	LUZUS-S	Luzula spicata
6488	LUZUSUD	Luzula sudetica
6489	LUZUSYL	Luzula sylvatica
6491	LUZUS-Y	Luzula sylvatica
6493	LUZU-SP	Luzula species
6495	LYCHCHA	Lychnis chalcedonica
6496	LYCHCOR	Lychnis coronaria
6497	LYCHFLO	Lychnis flos-cuculi
6498	LYCHFLS	Lychnis flos-jovis
6499	LYCHVIS	Viscaria vulgaris
6500	LYCH-SP	Lychnis species
6501	LYCNBAR	Lychnothamnus barbatus
6502	LYCN-SP	Lychnothamnus species
6503	LYCIBAR	Lycium barbarum
6504	LYCICHI	Lycium chinense
6505	LYCI-SP	Lycium species
6506	LYCOINU	Lycopodiella inundata
6507	LYCO-SP	Lycopodiella species
6508	LYCPALP	Diphasiastrum alpinum
6509	LYCPANN	Lycopodium annotinum
6510	LYCPCLA	Lycopodium clavatum
6511	LYCPC-C	Lycopodium clavatum ssp. clavatum
6513	LYCP#CO	Diphasiastrum complanatum agg.
6514	LYCPCOM	Diphasiastrum complanatum
6515	LYCPISS	Diphasiastrum x issleri
6517	LYCPTRI	Diphasiastrum tristachyum
6518	LYCPZEI	Diphasiastrum x zeilleri
6519	LYCP-SP	Lycopodium species
6520	LYCUEUR	Lycopus europaeus
6521	LYCUE-E	Lycopus europaeus ssp. europaeus
6523	LYCUEXA	Lycopus exaltatus
6524	LYCU-SP	Lycopus species
6525	LYSINEM	Lysimachia nemorum
6526	LYSINUM	Lysimachia nummularia
6527	LYSIPUN	Lysimachia punctata
6528	LYSITHY	Lysimachia thyrsiflora
6529	LYSIVUL	Lysimachia vulgaris
6530	LYSI-SP	Lysimachia species
6531	LYTHHYS	Lythrum hyssopifolia
6532	LYTHJUN	Lythrum junceum
6533	LYTHSAL	Lythrum salicaria
6535	LYTHVIR	Lythrum virgatum
6536	LYTH-SP	Lythrum species
6537	MACEABS	Macentina abscondita
6538	MACE-SP	Macentina species
6539	MACLCOR	Macleaya cordata
6540	MACL-SP	Macleaya species
6541	MADISAT	Madia sativa
6542	MADI-SP	Madia species
6543	MAHOAQU	Mahonia aquifolium
6544	MAHO-SP	Mahonia species
6545	MAIABIF	Maianthemum bifolium
6546	MAIA-SP	Maianthemum species
6547	MALAMON	Malaxis monophyllos
6548	MALA-SP	Malaxis species
6549	MALCAFR	Malcolmia africana
6550	MALCMAR	Malcolmia maritima
6551	MALCCHI	Malcolmia chia
6552	MALC-SP	Malcolmia species
6553	MALOTRI	Malope trifida
6554	MALO-SP	Malope species
6555	MALUDAS	Malus x dasyphylla
6556	MALUDOM	Malus domestica
6558	MALU#SY	Malus sylvestris agg.
6559	MALUSYL	Malus sylvestris
6560	MALU-SP	Malus species
6561	MALVALC	Malva alcea
6562	MALVMOS	Malva moschata
6563	MALVNEG	Malva neglecta
6564	MALVPUS	Malva pusilla
6565	MALVSYL	Malva sylvestris var. sylvestris
6566	MALVVER	Malva verticillata var. verticillata
6567	MALVPAR	Malva parviflora
6568	"MALVS;M"	Malva sylvestris var. mauritiana
6569	"MALVV;C"	Malva verticillata var. crispa
6570	MALV-SP	Malva species
6571	MANNAND	Mannia androgyna
6572	MANNFRA	Mannia fragrans
6573	MANNPIL	Mannia pilosa
6574	MANNSIB	Mannia sibirica
6575	MANNTRI	Mannia triandra
6576	MANN-SP	Mannia species
6579	MARCCOR	Marchandiomyces corallinus
6580	MARC-SP	Marchandiomyces species
6581	MARHPAL	Marchantia paleacea
6582	MARHPOL	Marchantia polymorpha
6583	MARHP-M	Marchantia polymorpha ssp. montivagans
6584	MARHP-P	Marchantia polymorpha ssp. polymorpha
6585	MARHP-R	Marchantia polymorpha ssp. ruderalis
6586	MARH-SP	Marchantia species
6587	MAREMAC	Marchesinia mackaii
6588	MARE-SP	Marchesinia species
6589	MAROCON	Maronea constans
6590	MARO-SP	Maronea species
6591	MARNLAR	Maronella laricina
6592	MARN-SP	Maronella species
6593	MARRPER	Marrubium peregrinum
6594	MARRVUL	Marrubium vulgare
6595	MARR-SP	Marrubium species
6598	MARUADU	Marsupella adusta
6599	MARUALP	Marsupella alpina
6600	MARUAND	Marsupella andreaeoides
6601	MARUARC	Marsupella arctica
6602	MARUBAD	Marsupella badensis
6603	MARUBOE	Marsupella boeckii
6604	"MARUB;B"	Marsupella boeckii var. boeckii
6605	"MARUB;S"	Marsupella boeckii var. stableri
6606	MARUBRE	Marsupella brevissima
6607	MARUCOM	Marsupella commutata
6608	MARUCON	Marsupella condensata
6609	MARUEMA	Marsupella emarginata
6610	MARUE-A	Marsupella emarginata ssp. aquatica
6611	MARUE-E	Marsupella emarginata ssp. emarginata
6612	MARUE-P	Marsupella emarginata ssp. pearsonii
6613	MARUE-T	Marsupella emarginata ssp. tubulosa
6614	MARUFUN	Marsupella funckii
6615	MARUPRO	Marsupella profunda
6616	MARURAM	Marsupella ramosa
6617	MARUREV	Marsupella revoluta
6618	MARUSPA	Marsupella sparsifolia
6619	MARUSPH	Marsupella sphacelata
6620	MARUSPR	Marsupella sprucei
6621	MARU-SP	Marsupella species
6622	MASSCAR	Massalongia carnosa
6623	MASS-SP	Massalongia species
6624	MASTWOO	Mastigophora woodsii
6625	MAST-SP	Mastigophora species
6626	MATRCHA	Matricaria chamomilla
6627	MATRDIS	Matricaria discoidea
6628	MATR-SP	Matricaria species
6629	MATTSTR	Matteuccia struthiopteris
6630	MATT-SP	Matteuccia species
6631	MATHINC	Matthiola incana
6632	MATHLON	Matthiola longipetala
6633	MATHL-B	Matthiola longipetala ssp. bicornis
6634	MATHL-L	Matthiola longipetala ssp. longipetala
6635	MATH-SP	Matthiola species
6638	MEDIARA	Medicago arabica
6640	MEDIFAL	Medicago falcata
6641	MEDILUP	Medicago lupulina
6642	MEDIMIN	Medicago minima
6643	MEDIMON	Medicago monspeliaca
6644	MEDIPOL	Medicago polymorpha
6645	MEDIPRO	Medicago prostrata
6646	MEDIRIG	Medicago rigidula
6647	MEDI#SA	Medicago sativa agg.
6648	MEDISAT	Medicago sativa
6650	MEDI*VA	Medicago x varia (M. falcata x sativa)
6651	MEDIDIS	Medicago disciformis
6652	MEDIORB	Medicago orbicularis
6653	MEDI-SP	Medicago species
6654	MEESHEX	Meesia hexasticha
6655	MEESLON	Meesia longiseta
6656	MEESSER	Meesia seriata
6657	MEESTRI	Meesia triquetra
6658	MEESULI	Meesia uliginosa
6659	MEES-SP	Meesia species
6660	MEGAGRO	Megalaria grossa
6661	MEGAPUL	Megalaria pulverea
6662	MEGA-SP	Megalaria species
6663	MEGLPAC	Megalospora pachycarpa
6664	MEGL-SP	Megalospora species
6665	MEGSVER	Megaspora verrucosa
6666	MEGS-SP	Megaspora species
6667	MELAARV	Melampyrum arvense
6668	MELABAR	Melampyrum barbatum
6669	MELABOH	Melampyrum subalpinum
6670	MELACRI	Melampyrum cristatum
6671	MELAHER	Melampyrum sylvaticum
6672	MELA#NE	Melampyrum nemorosum agg.
6673	MELANEM	Melampyrum nemorosum
6674	MELAPRA	Melampyrum pratense
6675	MELASUB	Melampyrum subalpinum
6676	MELA#SY	Melampyrum sylvaticum
6677	MELASYL	Melampyrum sylvaticum
6678	MELA-SP	Melampyrum species
6679	MELNTRA	Melanolecia transitoria
6680	MELN-SP	Melanolecia species
6681	MELSGIB	Melaspilea gibberulosa
6682	MELSPRO	Melaspilea proximella
6683	MELSRHO	Melaspilea rhododendri
6684	MELSSUB	Melaspilea subcarnea
6685	MELSURC	Melaspilea urceolata
6686	MELS-SP	Melaspilea species
6687	MELIALT	Melica altissima
6688	MELI#CI	Melica ciliata agg.
6689	MELICIL	Melica ciliata
6690	MELIC-C	Melica ciliata ssp. ciliata
6692	MELI#NU	Melica nutans agg.
6693	MELINUT	Melica nutans
6694	MELIPIC	Melica picta
6695	MELITRA	Melica transsilvanica
6696	MELIUNI	Melica uniflora
6697	MELI-SP	Melica species
6698	MELLALB	Melilotus albus
6699	MELLALT	Melilotus altissimus
6700	MELLDEN	Melilotus dentatus
6701	MELLIND	Melilotus indicus
6703	MELLOFF	Melilotus officinalis
6704	MELLSUL	Melilotus sulcatus
6705	MELLMES	Melilotus siculus
6706	MELLWOL	Melilotus wolgicus
6707	MELL-SP	Melilotus species
6708	MELBOFF	Melissa officinalis
6709	MELB-SP	Melissa species
6710	MELTMEL	Melittis melissophyllum
6711	MELT-SP	Melittis species
6712	MENETER	Menegazzia terebrata
6713	"MENET;D"	Menegazzia terebrata var. dissecta
6714	"MENET;T"	Menegazzia terebrata var. tenebrata
6715	MENE-SP	Menegazzia species
6716	MENTAQU	Mentha aquatica
6717	MENTARV	Mentha arvensis
6718	MENTLON	Mentha longifolia
6719	MENT#PI	Mentha x piperita agg.
6720	MENTPUL	Mentha pulegium
6721	MENT#SP	Mentha spicata agg.
6722	MENTSPI	Mentha spicata
6723	MENTSUA	Mentha suaveolens
6724	MENT#VE	Mentha x verticillata agg.
6725	MENT*DA	Mentha x dalmatica
6726	MENT*DU	Mentha x dumetorum
6727	MENT*GE	Mentha x gracilis (M. arvensis x spicata)
6729	MENT*NI	Mentha x niliaca (M. longifolia x suaveolens)
6730	MENT*PI	Mentha x piperita (M. aquatica x spicata)
6732	MENT*VE	Mentha x verticillata (M. aquatica x arvensis)
6733	MENT*VI	Mentha x rotundifolia (M. spicata x suaveolens)
6735	MENTS-C	Mentha spicata ssp. condensata
6736	MENTS-S	Mentha spicata ssp. spicata
6737	MENT-SP	Mentha species
6738	MENYTRI	Menyanthes trifoliata
6739	MENY-SP	Menyanthes species
6740	MERCANN	Mercurialis annua
6741	MERCOVA	Mercurialis ovata
6742	MERC#PE	Mercurialis perennis agg.
6743	MERCPER	Mercurialis perennis
6744	MERC*PA	Mercurialis x paxii (M. ovata x perennis)
6745	MERC-SP	Mercurialis species
6746	MERIDEC	Merismatium decolorans
6747	MERIDIS	Merismatium discrepans
6748	MERINIG	Merismatium nigritellum
6749	MERISCA	Merismatium scammoecum
6750	MERI-SP	Merismatium species
6751	MERTSIB	Mertensia sibirica
6752	MERT-SP	Mertensia species
6753	MESOSAH	Mesoptychia sahlbergii
6754	MESO-SP	Mesoptychia species
6755	MESPGER	Mespilus germanica
6756	MESP-SP	Mespilus species
6757	METAMEN	Metaneckera menziesii
6758	META-SP	Metaneckera species
6759	METSTAR	Metasphaeria tartarina
6760	METS-SP	Metasphaeria species
6761	METZCON	Metzgeria conjugata
6762	METZFRU	Metzgeria fruticulosa
6763	METZFUR	Metzgeria furcata
6764	METZLEP	Metzgeria leptoneura
6765	METZSIM	Metzgeria simplex
6766	METZTEM	Metzgeria temperata
6767	METZ-SP	Metzgeria species
6768	MEUMATH	Meum athamanticum
6769	MEUM-SP	Meum species
6770	MIBOMIN	Mibora minima
6771	MIBO-SP	Mibora species
6772	MICAADN	Micarea adnata
6773	MICAASS	Micarea assimilata
6774	MICABAU	Micarea bauschiana
6775	MICABOT	Micarea botryoides
6776	MICACIN	Micarea cinerea
6777	MICACRA	Micarea crassipes
6778	MICACYA	Micarea cyanescens
6779	MICADEN	Micarea denigrata
6780	MICAELA	Micarea elachista
6781	MICAERR	Micarea erratica
6782	MICAEXC	Micarea excipulata
6783	MICAGRA	Micarea granulans
6784	MICAHED	Micarea hedlundii
6785	MICAINC	Micarea incrassata
6786	MICAINT	Micarea intrusa
6787	MICALEP	Micarea leprosula
6788	MICALIG	Micarea lignaria
6789	"MICAL;E"	Micarea lignaria var. endoleuca
6790	"MICAL;L"	Micarea lignaria var. lignaria
6791	MICALIT	Micarea lithinella
6792	MICALUT	Micarea lutulata
